         1611867 function calls (1611852 primitive calls) in 32.843 CPU seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2291   25.887    0.011   25.887    0.011 {posix.system}
     1242    2.915    0.002    2.915    0.002 {posix.read}
     1242    1.229    0.001    1.229    0.001 {posix.fork}
     1242    0.546    0.000    0.546    0.000 {method 'read' of 'file' objects}
      621    0.480    0.001   30.817    0.050 Statistics.py:86(fisher_table)
   361849    0.267    0.000    0.267    0.000 {method 'split' of 'str' objects}
        3    0.207    0.069   31.466   10.489 Statistics.py:152(get_fisher_dict)
        1    0.192    0.192   32.839   32.839 Main.py:315(main_enrichment)
     1242    0.153    0.000    4.380    0.004 subprocess.py:1081(_execute_child)
        2    0.119    0.059    0.208    0.104 GenomicRegionSet.py:79(read_bed)
   245928    0.080    0.000    0.080    0.000 {method 'write' of 'file' objects}
     1242    0.061    0.000    4.506    0.004 subprocess.py:612(__init__)
   314633    0.061    0.000    0.061    0.000 {method 'strip' of 'str' objects}
     2295    0.061    0.000    0.061    0.000 {posix.remove}
   157912    0.053    0.000    0.053    0.000 {method 'join' of 'str' objects}
   258989    0.048    0.000    0.048    0.000 {method 'append' of 'list' objects}
        1    0.045    0.045    0.268    0.268 GenomicRegionSet.py:159(gene_association)
     1242    0.043    0.000    5.188    0.004 subprocess.py:508(check_output)
     1242    0.037    0.000    0.037    0.000 {posix.fdopen}
     1242    0.027    0.000    0.634    0.001 subprocess.py:713(communicate)
    33566    0.027    0.000    0.027    0.000 GenomicRegion.py:22(__init__)
      857    0.026    0.000    0.026    0.000 {open}
     1242    0.021    0.000    0.021    0.000 {posix.waitpid}
     3726    0.021    0.000    0.021    0.000 {posix.close}
     2093    0.021    0.000    0.021    0.000 {method 'close' of 'file' objects}
     2484    0.021    0.000    0.021    0.000 {fcntl.fcntl}
      414    0.020    0.000    0.020    0.000 {fisher.cfisher.pvalue}
    33797    0.018    0.000    0.018    0.000 GenomicRegion.py:86(__cmp__)
     1242    0.014    0.000    0.046    0.000 subprocess.py:1250(wait)
     2484    0.013    0.000    0.013    0.000 {posix.pipe}
     2484    0.013    0.000    2.949    0.001 subprocess.py:468(_eintr_retry_call)
     2665    0.012    0.000    0.012    0.000 {isinstance}
    33566    0.012    0.000    0.015    0.000 GenomicRegionSet.py:44(add)
     1242    0.011    0.000    0.032    0.000 subprocess.py:1054(_set_cloexec_flag)
     1242    0.011    0.000    0.020    0.000 subprocess.py:1009(_get_handles)
       59    0.006    0.000    0.009    0.000 {sorted}
